========================================================================
Per-epoch k selection summary
Candidates: [256, 512, 768, 1024, 1280, 1536, 1792, 2048]
------------------------------------------------------------------------
epoch |   argmax_k |       soft_k |   top_prob
------------------------------------------------------------------------
    0 |        256 |     1152.000 |     0.1250
    1 |        512 |     1148.696 |     0.1265
    2 |        512 |     1141.668 |     0.1297
    3 |        512 |     1136.877 |     0.1327
    4 |        512 |     1136.506 |     0.1338
    5 |        512 |     1134.256 |     0.1342
    6 |        512 |     1135.876 |     0.1337
    7 |        512 |     1137.914 |     0.1339
    8 |        512 |     1138.896 |     0.1341
    9 |        512 |     1143.387 |     0.1329
   10 |        512 |     1144.145 |     0.1331
   11 |        512 |     1146.167 |     0.1328
   12 |        512 |     1149.529 |     0.1328
   13 |        512 |     1149.736 |     0.1329
   14 |        512 |     1150.000 |     0.1328
   15 |        512 |     1149.645 |     0.1329
   16 |        512 |     1149.665 |     0.1329
   17 |        512 |     1149.779 |     0.1329
   18 |        512 |     1149.456 |     0.1332
   19 |        512 |     1147.802 |     0.1338
   20 |        512 |     1147.236 |     0.1339
   21 |        512 |     1147.286 |     0.1340
   22 |        512 |     1146.870 |     0.1343
   23 |        512 |     1149.522 |     0.1342
   24 |        512 |     1149.390 |     0.1342
   25 |        512 |     1149.388 |     0.1343
   26 |        512 |     1149.868 |     0.1344
   27 |        512 |     1149.979 |     0.1345
   28 |        512 |     1149.598 |     0.1349
   29 |        512 |     1149.139 |     0.1356
   30 |        512 |     1148.683 |     0.1360
   31 |        512 |     1148.902 |     0.1360
   32 |        512 |     1149.238 |     0.1360
   33 |        512 |     1149.223 |     0.1362
   34 |        512 |     1149.277 |     0.1365
   35 |        512 |     1149.190 |     0.1371
   36 |        512 |     1148.212 |     0.1380
   37 |        512 |     1148.171 |     0.1382
   38 |        512 |     1148.863 |     0.1379
   39 |        512 |     1149.130 |     0.1380
   40 |        512 |     1149.103 |     0.1383
   41 |        512 |     1147.895 |     0.1389
   42 |        512 |     1147.831 |     0.1387
   43 |        512 |     1147.105 |     0.1396
   44 |        512 |     1146.201 |     0.1402
   45 |        512 |     1146.544 |     0.1401
   46 |        512 |     1147.641 |     0.1402
   47 |        512 |     1148.376 |     0.1395
   48 |        512 |     1148.992 |     0.1391
   49 |        512 |     1149.155 |     0.1391
   50 |        512 |     1147.582 |     0.1400
   51 |        512 |     1147.282 |     0.1399
   52 |        512 |     1147.201 |     0.1402
   53 |        512 |     1147.351 |     0.1402
   54 |        512 |     1148.000 |     0.1399
   55 |        512 |     1147.305 |     0.1406
   56 |        512 |     1147.854 |     0.1410
   57 |        512 |     1151.012 |     0.1400
   58 |        512 |     1152.296 |     0.1390
   59 |        512 |     1154.277 |     0.1381
   60 |        512 |     1155.089 |     0.1378
   61 |        512 |     1157.112 |     0.1362
   62 |        512 |     1155.295 |     0.1367
   63 |        512 |     1153.323 |     0.1383
   64 |        512 |     1153.144 |     0.1386
   65 |        512 |     1152.776 |     0.1391
   66 |        512 |     1152.378 |     0.1396
   67 |        512 |     1150.365 |     0.1403
   68 |        512 |     1148.857 |     0.1413
   69 |        512 |     1148.712 |     0.1413
   70 |        512 |     1148.533 |     0.1408
   71 |        512 |     1147.076 |     0.1412
   72 |        512 |     1146.585 |     0.1417
   73 |        512 |     1144.554 |     0.1431
   74 |        512 |     1145.364 |     0.1432
   75 |        512 |     1144.891 |     0.1433
   76 |        512 |     1145.300 |     0.1429
   77 |        512 |     1144.885 |     0.1418
   78 |        512 |     1144.934 |     0.1417
   79 |        512 |     1144.922 |     0.1416
   80 |        512 |     1144.912 |     0.1417
   81 |        512 |     1144.896 |     0.1417
   82 |        512 |     1144.856 |     0.1417
   83 |        512 |     1144.954 |     0.1416
   84 |        512 |     1144.769 |     0.1417
   85 |        512 |     1144.812 |     0.1417
   86 |        512 |     1144.802 |     0.1417
   87 |        512 |     1144.929 |     0.1416
   88 |        512 |     1144.775 |     0.1417
   89 |        512 |     1144.571 |     0.1417
   90 |        512 |     1144.628 |     0.1417
   91 |        512 |     1144.738 |     0.1416
   92 |        512 |     1144.740 |     0.1416
   93 |        512 |     1144.845 |     0.1416
   94 |        512 |     1145.024 |     0.1415
   95 |        512 |     1145.217 |     0.1414
   96 |        512 |     1145.308 |     0.1413
   97 |        512 |     1145.211 |     0.1413
   98 |        512 |     1145.361 |     0.1412
   99 |        512 |     1145.417 |     0.1412
  100 |        512 |     1145.611 |     0.1412
  101 |        512 |     1145.896 |     0.1410
  102 |        512 |     1145.979 |     0.1409
  103 |        512 |     1146.066 |     0.1409
  104 |        512 |     1146.018 |     0.1408
  105 |        512 |     1146.070 |     0.1408
  106 |        512 |     1146.180 |     0.1407
  107 |        512 |     1146.263 |     0.1407
  108 |        512 |     1146.395 |     0.1406
  109 |        512 |     1146.403 |     0.1406
  110 |        512 |     1147.281 |     0.1404
  111 |        512 |     1147.413 |     0.1403
  112 |        512 |     1147.491 |     0.1403
  113 |        512 |     1147.570 |     0.1403
  114 |        512 |     1147.602 |     0.1403
  115 |        512 |     1147.650 |     0.1402
  116 |        512 |     1148.053 |     0.1401
  117 |        512 |     1148.079 |     0.1401
  118 |        512 |     1148.123 |     0.1401
  119 |        512 |     1147.994 |     0.1401
  120 |        512 |     1147.873 |     0.1400
  121 |        512 |     1147.847 |     0.1400
  122 |        512 |     1147.949 |     0.1400
  123 |        512 |     1147.878 |     0.1401
  124 |        512 |     1148.056 |     0.1400
  125 |        512 |     1148.041 |     0.1400
  126 |        512 |     1148.187 |     0.1400
  127 |        512 |     1148.147 |     0.1400
  128 |        512 |     1148.297 |     0.1399
  129 |        512 |     1148.168 |     0.1399
  130 |        512 |     1148.300 |     0.1398
  131 |        512 |     1148.049 |     0.1400
  132 |        512 |     1147.764 |     0.1400
  133 |        512 |     1147.922 |     0.1400
  134 |        512 |     1147.978 |     0.1400
  135 |        512 |     1148.171 |     0.1399
  136 |        512 |     1148.686 |     0.1398
  137 |        512 |     1148.870 |     0.1398
  138 |        512 |     1148.896 |     0.1397
  139 |        512 |     1148.692 |     0.1397
  140 |        512 |     1148.699 |     0.1397
  141 |        512 |     1148.707 |     0.1397
  142 |        512 |     1148.713 |     0.1397
  143 |        512 |     1148.713 |     0.1397
  144 |        512 |     1148.706 |     0.1397
  145 |        512 |     1148.700 |     0.1397
  146 |        512 |     1148.701 |     0.1397
  147 |        512 |     1148.694 |     0.1397
  148 |        512 |     1148.687 |     0.1397
------------------------------------------------------------------------
Final selected k (argmax, last epoch): 512
Most frequently selected k across epochs: 512 (hit 148/149 epochs)
========================================================================

[test]
train_rx  : ['n210_1']
test_rx   : ['n210_1']
train_day : [1]
test_day  : [1, 2, 3, 4]
test_k    : 512  (soft_k=1148.297, top_prob=0.1399)
Day1      : 0.9455
Day2      : 0.9175
Day3      : 0.9600
Day4      : 0.9570
Average   : 0.9450

[test]
train_rx  : ['n210_1']
test_rx   : ['rtl_6']
train_day : [1]
test_day  : [1, 2, 3, 4]
test_k    : 512  (soft_k=1148.297, top_prob=0.1399)
Day1      : 0.9175
Day2      : 0.8350
Day3      : 0.8540
Day4      : 0.8465
Average   : 0.8633
